user_username,user_display_name,user_profile_url,text,hashtags,mentions,has_image,has_video,timestamp,tweet_url,tweet_id,views,is_retweet,extracted_at
CWEB,CWEB,https://twitter.com/cweb,UberTechnologies Inc. Hits Milestone with Uber Eats and Sets Ambitious 2024 Targets https://ies-inc-hits-milestone-with-uber-eats-and-sets-ambitious-2024-targets/…#Uber#uberdriver#webfans,"#Uber,#uberdriver,#webfans",,True,False,2024-04-13T19:01:50.000Z,https://twitter.com/cweb/status/1779223486344699964,1779223486344699964,56,False,2025-02-26T20:54:43.098807
David Welch,David Welch,https://twitter.com/DavidWelch47,Uber considered offloading its Freight unit with a spin-off. https://2023-03-08/uber-technologies-is-said-to-consider-spinning-off-freight-logistics-division#xj4y7vzkg…. #uber#Deals@Katie_Roof@EdLudlow,"#uber,#Deals","@Katie_Roof,@EdLudlow",False,False,2023-03-08T21:29:39.000Z,https://twitter.com/DavidWelch47/status/1633580763982573570,1633580763982573570,37000,False,2025-02-26T20:54:47.238310
Cybernews,Cybernews,https://twitter.com/CyberNews,"Uber and UberTechnologies were found to be jointly responsible.

#Uber#EU#privacy#datasecurity#cybersecurity#infosec","#Uber,#EU,#privacy,#datasecurity,#cybersecurity,#infosec",,False,False,2024-08-26T12:40:00.000Z,https://twitter.com/CyberNews/status/1828049757186498795,1828049757186498795,677,False,2025-02-26T20:54:50.704834
MarketsBlock,MarketsBlock,https://twitter.com/MarketsBlock,UBS maintains #UberTechnologies$UBER at Buy and lowers the price target from $114 to,#Uber,,False,False,2025-02-03T20:43:16.000Z,https://twitter.com/MarketsBlock/status/1886515821800730823,1886515821800730823,523,False,2025-02-26T20:54:50.717138
TalkMarkets,TalkMarkets,https://twitter.com/TalkMarkets,#UberTechnologies: Chart Of The Week $UBERhttps://--equities/uber-technologies-inc-chart-of-the-week?post=403824…,#Uber,,False,False,2023-07-18T21:16:02.000Z,https://twitter.com/TalkMarkets/status/1681412536346787861,1681412536346787861,115,False,2025-02-26T20:54:54.152878
FP Markets,FP Markets,https://twitter.com/FP_markets,"#UberTechnologies Inc. (ticker: #UBER) is scheduled to report #earnings before the market opens on 5 February. The consensus #EPS estimate for the fiscal quarter ending December 2024 is US$0.50. The reported EPS for the same quarter a year prior was US$0.66.

#FPMarkets","#Uber,#UBER,#earnings,#EPS,#FPMarkets",,True,False,2025-02-05T09:00:23.000Z,https://twitter.com/FP_markets/status/1887063711841468572,1887063711841468572,110,False,2025-02-26T20:54:59.369999
shoreline666,shoreline666,https://twitter.com/shoreline666,"#JUPUARY made the bar high for 2024

being #early & a 'pioneer'/user of new technologies has its perks 

who doesn't enjoyed those free coupon #uber rides back  in 2012? 

in crypto is $WEN you make enough from #airdrpos to go to #Jupiter","#JUPUARY,#early,#uber,#airdrpos,#Jupiter",,True,False,2024-02-01T02:32:17.000Z,https://twitter.com/shoreline666/status/1752882533090337263,1752882533090337263,224,False,2025-02-26T20:54:59.370389
MarketsBlock,MarketsBlock,https://twitter.com/MarketsBlock,Goldman Sachs maintains #UberTechnologies$UBER at Buy and maintains a price target of,#Uber,,False,False,2025-01-02T21:30:36.000Z,https://twitter.com/MarketsBlock/status/1874931322847887744,1874931322847887744,64,False,2025-02-26T20:55:01.570733
Startup Pakistan,Startup Pakistan,https://twitter.com/PakStartup,"UberTechnologies is set to acquire Foodpanda's Taiwan business, owned by Delivery Hero, for $950 million in cash, as part of Foodpanda's strategic shift towards other markets. 

#Uber#Foodpanda#Business#Monopoly#Deliveryservice","#Uber,#Foodpanda,#Business,#Monopoly,#Deliveryservice",,True,False,2024-05-15T16:48:29.000Z,https://twitter.com/PakStartup/status/1790786340906233982,1790786340906233982,1700,False,2025-02-26T20:55:04.031987
MarketsBlock,MarketsBlock,https://twitter.com/MarketsBlock,Cantor Fitzgerald reiterates #UberTechnologies$UBER at Overweight and maintains a price target of,#Uber,,False,False,2024-12-18T19:56:02.000Z,https://twitter.com/MarketsBlock/status/1869471707066708254,1869471707066708254,341,False,2025-02-26T20:55:10.607159
